name	origin_of_funds
Water4ALL	International / Non-EU
Fundación Enrique Fuentes Quintana (FUNCAS)	Private / Philanthropic
Union for International Cancer Control (UICC)	International / Non-EU
John Templeton Foundation	Private / Philanthropic
Slovenian Research and Innovation Agency (ARIS)	International / Non-EU
Royal Society (UK)	International / Non-EU
Fundación Ramiro Carregal	Private / Philanthropic
The Mark Foundation for Cancer Research	Private / Philanthropic
Sustainable Blue Economy Partnership (SBEP)	International / Non-EU
ECUSA (Españoles Científicos en USA)	International / Non-EU
NTT DATA Foundation	Private / Philanthropic
Vienna Biocenter	International / Non-EU
Diario La Vanguardia	Private / Philanthropic
Ministerio de Ciencia, Innovación y Universidades (MICIU)	Spanish Government
Fondazione AIRC per la ricerca sul cancro ETS	International / Non-EU
ISS Imaging La Fe	Spanish Regional Government
Centro Nacional de Investigaciones Cardiovasculares (CNIC)	Spanish Regional Government
Universidad Complutense de Madrid (UCM)	Spanish Regional Government
Universidad de Valencia	Spanish Regional Government
Universidad Nacional de Tucumán	International / Non-EU
Generalitat Valenciana	Spanish Regional Government
Hospital Universitario Fundación Jiménez Díaz	Private / Philanthropic
The European Association for the Study of Obesity (EASO)	European Union
Agencia Valenciana de la Innovación - AVI	Spanish Regional Government
Comunidad de Madrid	Spanish Regional Government
Gobierno de Navarra	Spanish Regional Government
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA-CSIC)	Spanish Government
Agencia Española de Medicamentos y Productos Sanitarios (AEMPS)	Spanish Government
Fundación CaixaResearch (CaixaResearch Health)	Private / Philanthropic
Fundación Banco Sabadell - Premio a la Investigación Biomédica	Private / Philanthropic
Fundación Seve Ballesteros	Private / Philanthropic
PERTE Salud de Vanguardia	Spanish Government
Fundación Instituto Roche	Private / Philanthropic
Sociedad Española de Oncología Médica (SEOM)	Private / Philanthropic
Sociedad Española de Cardiología (SEC)	Private / Philanthropic
Sociedad Española de Farmacología (SEF)	Private / Philanthropic
Fundación Científica de la AECC	Private / Philanthropic
Plan Estatal de Investigación Científica, Técnica y de Innovación (PEICTI)	Spanish Government
Ministerio de Agricultura, Pesca y Alimentación (MAPA)	Spanish Government
Sociedad Española de Medicina Interna (SEMI)	Private / Philanthropic
Fundación Progreso y Salud (FPS) - Junta de Andalucía	Spanish Regional Government
Asociación Española de Esclerosis Múltiple (AEDEM)	Private / Philanthropic
Fundación AXA España - Research Fund	Private / Philanthropic
Fundación Reina Sofía	Private / Philanthropic
Agencia de Gestión de Ayudas Universitarias y de Investigación (AGAUR)	Spanish Regional Government
Generalitat de Catalunya - PERIS	Spanish Regional Government
Consejería de Educación, Ciencia y Universidades de la Comunidad de Madrid	Spanish Regional Government
Consejería de Salud de la Junta de Andalucía	Spanish Regional Government
Agencia Gallega de Innovación (GAIN)	Spanish Regional Government
Conselleria d'Innovació, Universitats, Ciència i Societat Digital (GVA)	Spanish Regional Government
Diputación Foral de Bizkaia	Spanish Regional Government
Diputación Foral de Álava	Spanish Regional Government
Fundación para la Investigación e Innovación Biosanitaria del Principado de Asturias (FINBA)	Spanish Regional Government
Gobierno de Canarias - ACIISI	Spanish Regional Government
Gobierno de Extremadura - FUNDESALUD	Spanish Regional Government
Gobierno de Murcia - SENECA Foundation	Spanish Regional Government
Gobierno de Castilla-La Mancha - UCLM Research	Spanish Regional Government
Instituto de Investigación Sanitaria de Aragón (IIS Aragón)	Spanish Regional Government
Agencia de I+D+i de la Junta de Extremadura	Spanish Regional Government
European Innovation Council (EIC)	European Union
Marie Sk?odowska-Curie Actions (MSCA)	European Union
European Institute of Innovation and Technology (EIT)	European Union
EIT Health	European Union
Wellcome Trust	Private / Philanthropic
Medical Research Council (MRC) - UKRI	Other
Deutsche Forschungsgemeinschaft (DFG)	European Union
Netherlands Organisation for Scientific Research (NWO)	European Union
Swiss National Science Foundation (SNSF)	Other
Austrian Science Fund (FWF)	European Union
UK Research and Innovation (UKRI)	Other
Novo Nordisk Foundation	Private / Philanthropic
BBMRI-ERIC	European Union
ELIXIR Europe	European Union
InvestEU / European Fund for Strategic Investments (EFSI)	European Union
Interreg Central Europe	European Union
Horizon Europe - Missions	European Union
European Partnership on Rare Diseases	European Union
European Partnership on One Health AMR	European Union
European Health Data Space (EHDS)	European Union
Cancer Mission - Horizon Europe	European Union
European Research Infrastructure Consortium (ERIC)	European Union
